['85', '1527156418351', '-0.137', '0.412', '10.297', 'AccStLineZ'],
['86', '1527156418359', '-0.157', '0.353', '10.258', 'AccStLineZ'],
['87', '1527156418367', '-0.177', '0.431', '10.297', 'AccStLineZ'],
['88', '1527156418376', '-0.157', '0.431', '10.317', 'AccStLineZ'],
['89', '1527156418384', '-0.118', '0.471', '10.375', 'AccStLineZ'],
['90', '1527156418393', '-0.118', '0.392', '10.415', 'AccStLineZ'],
['91', '1527156418401', '-0.118', '0.392', '10.415', 'AccStLineZ'],
['92', '1527156418410', '-0.039', '0.392', '10.317', 'AccStLineZ'],
['93', '1527156418419', '-0.078', '0.392', '10.297', 'AccStLineZ'],
['94', '1527156418426', '-0.196', '0.314', '10.336', 'AccStLineZ'],
['95', '1527156418435', '-0.216', '0.353', '10.356', 'AccStLineZ'],
['96', '1527156418444', '-0.196', '0.373', '10.317', 'AccStLineZ'],
['97', '1527156418451', '-0.196', '0.373', '10.317', 'AccStLineZ'],
['98', '1527156418460', '-0.157', '0.392', '10.395', 'AccStLineZ'],
['99', '1527156418469', '-0.098', '0.451', '10.375', 'AccStLineZ'],
['100', '1527156418476', '-0.177', '0.451', '10.356', 'AccStLineZ'],
['101', '1527156418485', '-0.118', '0.451', '10.258', 'AccStLineZ'],
['102', '1527156418493', '-0.118', '0.471', '10.277', 'AccStLineZ'],
['103', '1527156418502', '-0.118', '0.471', '10.277', 'AccStLineZ'],
['104', '1527156418510', '-0.078', '0.471', '10.297', 'AccStLineZ'],
['105', '1527156418519', '-0.078', '0.49', '10.219', 'AccStLineZ'],
['106', '1527156418527', '-0.02', '0.412', '10.297', 'AccStLineZ'],
['107', '1527156418535', '0.039', '0.412', '10.336', 'AccStLineZ'],
['108', '1527156418544', '0.02', '0.412', '10.395', 'AccStLineZ'],
['109', '1527156418552', '0.02', '0.412', '10.395', 'AccStLineZ'],
['110', '1527156418561', '-0.039', '0.392', '10.356', 'AccStLineZ'],
['111', '1527156418569', '-0.118', '0.431', '10.317', 'AccStLineZ'],
['112', '1527156418577', '-0.059', '0.392', '10.317', 'AccStLineZ'],
['113', '1527156418586', '-0.078', '0.373', '10.356', 'AccStLineZ'],
['114', '1527156418594', '-0.078', '0.373', '10.356', 'AccStLineZ'],
['115', '1527156418602', '0.02', '0.353', '10.317', 'AccStLineZ'],
['116', '1527156418616', '-0.02', '0.392', '10.297', 'AccStLineZ'],
['117', '1527156418620', '-0.059', '0.471', '10.277', 'AccStLineZ'],
['118', '1527156418630', '-0.059', '0.412', '10.277', 'AccStLineZ'],
['119', '1527156418640', '-0.157', '0.451', '10.297', 'AccStLineZ'],
['120', '1527156418646', '-0.157', '0.451', '10.297', 'AccStLineZ'],
['121', '1527156418664', '-0.235', '0.431', '10.199', 'AccStLineZ'],
['122', '1527156418665', '-0.294', '0.451', '10.258', 'AccStLineZ'],
['123', '1527156418669', '-0.196', '0.431', '10.317', 'AccStLineZ'],
['124', '1527156418677', '-0.177', '0.412', '10.297', 'AccStLineZ'],
['125', '1527156418686', '-0.196', '0.412', '10.336', 'AccStLineZ'],
['126', '1527156418694', '-0.196', '0.412', '10.336', 'AccStLineZ'],
