1	1527159527221	-0.098	0.255	10.219	AccCircle
2	1527159527226	-0.059	0.275	10.238	AccCircle
3	1527159527235	-0.02	0.255	10.277	AccCircle
4	1527159527245	-0.02	0.255	10.277	AccCircle
5	1527159527252	-0.059	0.275	10.336	AccCircle
6	1527159527260	-0.078	0.275	10.317	AccCircle
7	1527159527269	-0.059	0.275	10.277	AccCircle
8	1527159527277	-0.02	0.314	10.258	AccCircle
9	1527159527287	-0.059	0.314	10.238	AccCircle
10	1527159527294	-0.059	0.314	10.238	AccCircle
11	1527159527304	-0.078	0.294	10.199	AccCircle
12	1527159527311	-0.059	0.275	10.336	AccCircle
13	1527159527320	-0.059	0.314	10.336	AccCircle
14	1527159527327	-0.039	0.275	10.395	AccCircle
15	1527159527336	-0.059	0.255	10.317	AccCircle
16	1527159527344	-0.059	0.255	10.317	AccCircle
17	1527159527352	-0.098	0.255	10.336	AccCircle
18	1527159527361	-0.118	0.235	10.336	AccCircle
19	1527159527369	-0.137	0.235	10.336	AccCircle
20	1527159527377	-0.137	0.196	10.356	AccCircle
21	1527159527386	-0.118	0.235	10.395	AccCircle
22	1527159527394	-0.118	0.235	10.395	AccCircle
23	1527159527402	-0.078	0.255	10.336	AccCircle
24	1527159527411	-0.02	0.216	10.317	AccCircle
25	1527159527420	-0.078	0.235	10.336	AccCircle
26	1527159527428	-0.098	0.235	10.317	AccCircle
27	1527159527437	-0.078	0.314	10.317	AccCircle
28	1527159527447	-0.078	0.314	10.317	AccCircle
29	1527159527453	0.02	0.275	10.317	AccCircle
30	1527159527462	-0.098	0.294	10.297	AccCircle
31	1527159527471	-0.177	0.275	10.277	AccCircle
32	1527159527478	-0.177	0.255	10.277	AccCircle
33	1527159527486	-0.137	0.255	10.277	AccCircle
34	1527159527495	-0.137	0.255	10.277	AccCircle
35	1527159527503	-0.177	0.196	10.317	AccCircle
36	1527159527512	-0.216	0.216	10.297	AccCircle
37	1527159527520	-0.216	0.235	10.277	AccCircle
38	1527159527529	-0.177	0.255	10.277	AccCircle
39	1527159527537	-0.177	0.255	10.277	AccCircle
40	1527159527545	-0.137	0.235	10.277	AccCircle
41	1527159527554	-0.157	0.235	10.336	AccCircle
42	1527159527562	-0.137	0.216	10.277	AccCircle
43	1527159527570	-0.177	0.216	10.277	AccCircle
44	1527159527579	-0.177	0.235	10.297	AccCircle
45	1527159527588	-0.177	0.235	10.297	AccCircle
46	1527159527596	-0.294	0.255	10.238	AccCircle
47	1527159527604	-0.314	0.275	10.258	AccCircle
48	1527159527612	-0.255	0.294	10.395	AccCircle
49	1527159527621	-0.177	0.235	10.434	AccCircle
50	1527159527629	-0.137	0.294	10.356	AccCircle
51	1527159527639	-0.137	0.294	10.356	AccCircle
52	1527159527646	-0.078	0.275	10.356	AccCircle
53	1527159527654	-0.118	0.255	10.356	AccCircle
54	1527159527664	-0.235	0.294	10.317	AccCircle
55	1527159527671	-0.275	0.275	10.317	AccCircle
56	1527159527681	-0.294	0.294	10.395	AccCircle
57	1527159527688	-0.294	0.294	10.395	AccCircle
58	1527159527696	-0.275	0.255	10.238	AccCircle
59	1527159527705	-0.196	0.275	10.277	AccCircle
60	1527159527714	-0.098	0.255	10.277	AccCircle
61	1527159527722	-0.157	0.235	10.277	AccCircle
62	1527159527731	-0.216	0.275	10.297	AccCircle
63	1527159527739	-0.216	0.275	10.297	AccCircle
64	1527159527747	-0.137	0.275	10.356	AccCircle
65	1527159527755	-0.078	0.275	10.336	AccCircle
66	1527159527764	0	0.294	10.356	AccCircle
67	1527159527772	0.078	0.294	10.434	AccCircle
68	1527159527781	0	0.294	10.356	AccCircle
69	1527159527789	0	0.294	10.356	AccCircle
70	1527159527797	-0.137	0.333	10.317	AccCircle
71	1527159527806	-0.177	0.314	10.277	AccCircle
72	1527159527814	-0.157	0.373	10.297	AccCircle
73	1527159527822	-0.118	0.373	10.297	AccCircle
74	1527159527831	-0.078	0.373	10.277	AccCircle
75	1527159527839	-0.078	0.373	10.277	AccCircle
76	1527159527847	-0.157	0.314	10.277	AccCircle
77	1527159527856	-0.275	0.275	10.317	AccCircle
78	1527159527864	-0.294	0.255	10.277	AccCircle
79	1527159527872	-0.275	0.255	10.277	AccCircle
80	1527159527881	-0.235	0.275	10.297	AccCircle
81	1527159527890	-0.235	0.275	10.297	AccCircle
82	1527159527898	-0.235	0.255	10.297	AccCircle
83	1527159527906	-0.177	0.235	10.317	AccCircle
84	1527159527915	-0.059	0.314	10.238	AccCircle
85	1527159527924	-0.039	0.314	10.258	AccCircle
86	1527159527932	0.02	0.314	10.277	AccCircle
87	1527159527940	0.02	0.314	10.277	AccCircle
88	1527159527949	0.039	0.294	10.258	AccCircle
89	1527159527958	0.039	0.275	10.238	AccCircle
90	1527159527965	0.098	0.255	10.297	AccCircle
91	1527159527974	0.078	0.255	10.317	AccCircle
92	1527159527982	0.098	0.216	10.317	AccCircle
93	1527159527990	0.098	0.216	10.317	AccCircle
94	1527159527998	0.118	0.275	10.297	AccCircle
95	1527159528007	0.177	0.255	10.356	AccCircle
96	1527159528015	0.118	0.294	10.336	AccCircle
97	1527159528024	-0.02	0.333	10.336	AccCircle
98	1527159528032	-0.157	0.333	10.336	AccCircle
99	1527159528040	-0.157	0.333	10.336	AccCircle
100	1527159528049	-0.235	0.294	10.336	AccCircle
101	1527159528057	-0.333	0.333	10.317	AccCircle
102	1527159528066	-0.451	0.235	10.277	AccCircle
103	1527159528074	-0.569	0.196	10.277	AccCircle
104	1527159528082	-0.569	0.196	10.277	AccCircle
105	1527159528091	-0.49	0.216	10.336	AccCircle
106	1527159528099	-0.255	0.216	10.336	AccCircle
107	1527159528108	-0.118	0.275	10.317	AccCircle
108	1527159528116	0.059	0.314	10.238	AccCircle
109	1527159528124	0.059	0.353	10.238	AccCircle
110	1527159528133	0.059	0.353	10.238	AccCircle
111	1527159528141	0.02	0.333	10.317	AccCircle
112	1527159528150	-0.078	0.255	10.317	AccCircle
113	1527159528158	-0.216	0.275	10.277	AccCircle
114	1527159528167	-0.314	0.314	10.336	AccCircle
