1,0.01,-0.04,-0.98,1.28,1.49,-2.16,4904.0,
2,0.01,-0.03,-0.86,1.22,0.92,-2.16,4933.0,
3,0.01,-0.02,-0.54,1.34,2.23,-2.02,5010.0,
4,0.0,-0.02,-0.48,1.3,0.72,-2.23,5031.0,
5,-0.0,-0.01,-0.31,1.38,1.16,-2.14,5111.0,
6,0.0,-0.01,-0.25,1.07,1.47,-1.95,5151.0,
7,0.02,-0.03,-0.77,1.39,2.58,-2.37,4952.0,
8,-0.0,-0.01,-0.19,1.2,1.09,-2.21,5192.0,
9,0.01,-0.02,-0.62,1.37,-0.34,-2.13,4991.0,
10,0.02,-0.03,-0.68,1.34,0.86,-2.12,4971.0,
11,0.01,-0.02,-0.43,1.45,1.67,-2.53,5050.0,
12,0.01,-0.01,-0.34,1.27,-0.02,-1.98,5088.0,
13,0.01,-0.02,-0.38,1.26,1.98,-1.97,5069.0,
14,0.0,-0.0,-0.27,1.16,2.64,-2.3,5131.0,
15,0.0,-0.01,-0.21,1.34,0.79,-2.14,5171.0,
16,-0.0,-0.01,-0.17,1.31,1.06,-2.21,5213.0,
17,0.0,-0.01,-0.15,1.16,1.37,-2.09,5233.0,
18,0.0,-0.01,-0.13,1.2,1.17,-2.01,5252.0,
19,0.0,-0.01,-0.12,1.24,0.64,-2.16,5271.0,
20,-0.01,-0.01,-0.1,1.37,2.47,-2.5,5296.0,
21,-0.0,-0.0,-0.1,1.3,1.8,-2.31,5316.0,
22,0.0,-0.0,-0.08,1.46,1.21,-2.19,5404.0,
23,-0.01,-0.01,-0.08,1.39,0.17,-2.43,5424.0,
24,0.01,-0.0,-0.07,1.38,1.05,-2.24,5443.0,
25,-0.0,-0.0,-0.06,1.15,1.47,-2.24,5464.0,
26,0.0,-0.01,-0.04,1.39,0.85,-2.34,5488.0,
27,0.01,-0.01,-0.05,1.37,1.18,-2.42,5512.0,
28,-0.0,0.0,-0.04,1.21,2.18,-2.05,5530.0,
29,0.0,-0.0,-0.03,1.4,0.53,-2.07,5554.0,
30,-0.0,-0.01,-0.03,1.24,1.2,-2.19,5573.0,
31,0.0,-0.01,-0.03,1.31,0.73,-2.3,5592.0,
32,-0.01,0.0,-0.02,1.25,1.04,-2.05,5614.0,
33,0.01,-0.01,-0.01,1.2,1.45,-2.24,5634.0,
34,0.01,0.01,-0.03,1.44,1.19,-2.15,5665.0,
35,-0.0,0.0,-0.02,1.23,0.12,-2.11,5710.0,
36,0.01,0.0,-0.01,1.22,1.22,-2.32,5766.0,
37,0.01,0.0,-0.02,1.35,1.48,-2.08,5784.0,
38,0.0,-0.0,-0.02,1.24,1.2,-2.34,5804.0,
39,0.0,-0.01,-0.01,1.52,1.03,-2.19,5824.0,
40,-0.0,0.0,-0.01,1.09,0.88,-2.1,5845.0,
41,0.01,0.0,-0.01,1.29,2.31,-2.42,5864.0,
42,0.01,-0.0,-0.0,1.31,0.03,-2.08,5888.0,
43,-0.0,-0.0,-0.01,1.36,2.36,-2.34,5909.0,
44,-0.01,0.0,-0.01,1.48,2.56,-2.39,5930.0,
45,0.01,-0.01,-0.01,1.32,0.27,-2.1,5955.0,
46,-0.0,-0.0,0.01,1.38,1.44,-2.25,5977.0,
47,-0.01,0.0,-0.0,1.37,2.18,-2.24,5996.0,
48,0.01,-0.0,0.0,1.19,0.85,-2.29,6016.0,
49,-0.0,0.0,0.0,1.35,0.31,-2.07,6036.0,
50,0.0,0.0,-0.0,1.4,0.5,-2.08,6055.0,
51,-0.01,-0.0,-0.01,1.32,1.14,-2.11,6074.0,
52,0.01,-0.0,0.0,1.29,1.64,-2.27,6099.0,
53,0.0,-0.0,-0.01,1.32,1.06,-2.17,6118.0,
54,-0.01,-0.0,0.0,1.38,1.23,-2.11,6141.0,
55,0.0,0.0,-0.01,1.27,0.83,-2.33,6167.0,
56,-0.0,0.0,0.0,1.35,1.37,-2.19,6186.0,
57,-0.0,-0.0,-0.0,1.21,1.04,-2.21,6205.0,
58,-0.01,0.0,-0.01,1.34,0.99,-1.92,6225.0,
59,-0.0,0.0,0.01,1.27,1.0,-2.18,6245.0,
60,-0.0,-0.0,-0.0,1.38,3.36,-1.98,6264.0,
61,-0.0,-0.0,-0.01,1.27,0.31,-2.19,6284.0,
62,0.0,-0.0,0.0,1.3,1.78,-2.3,6317.0,
63,0.0,0.0,0.0,1.14,0.57,-2.41,6337.0,
64,-0.0,-0.01,-0.01,1.33,2.51,-2.3,6362.0,
65,0.01,0.0,0.01,1.22,1.91,-2.51,6383.0,
66,0.01,0.0,0.01,1.38,-0.82,-2.17,6402.0,
67,0.0,-0.01,0.01,1.33,0.34,-1.97,6422.0,
68,-0.02,-0.01,-0.01,1.27,-0.04,-1.95,6442.0,
69,-0.0,0.0,0.0,1.4,-0.52,-2.05,6466.0,
70,-0.01,0.0,-0.01,1.21,3.51,-2.23,6485.0,
71,0.01,0.0,0.01,1.38,2.89,-2.27,6523.0,
72,0.01,-0.0,0.01,1.39,1.91,-2.24,6554.0,
73,-0.02,-0.0,-0.02,1.36,-0.32,-2.18,6572.0,
74,-0.0,0.0,-0.01,1.29,-0.69,-2.38,6593.0,
75,-0.01,-0.0,-0.01,1.12,3.21,-2.31,6612.0,
76,-0.01,0.0,-0.02,1.09,-0.08,-2.28,6632.0,
77,-0.01,0.0,-0.0,1.27,1.44,-2.48,6651.0,
78,-0.01,0.0,-0.0,1.25,1.84,-2.35,6670.0,
79,-0.0,0.0,0.0,1.33,0.47,-2.08,6690.0,
80,-0.01,0.0,0.0,1.24,2.27,-2.21,6710.0,
