((1L, -0.09, 0.02, 0.8, 1.68, 4.73, -1.37, 1730.0),
 (2L, -0.1, 0.02, 0.76, -0.92, 2.78, -5.24, 2074.0),
 (3L, -0.08, 0.02, 0.68, -0.38, 1.84, -8.47, 2094.0),
 (4L, -0.07, 0.0, 0.59, 1.25, 1.6, -10.05, 2114.0),
 (5L, -0.06, 0.01, 0.52, 5.45, -0.34, -15.57, 2134.0),
 (6L, -0.06, -0.04, 0.45, 3.33, -0.48, -12.89, 2153.0),
 (7L, -0.04, -0.03, 0.41, 1.47, 1.75, -12.9, 2173.0),
 (8L, -0.02, 0.11, 0.36, 1.67, 2.34, -9.25, 2193.0),
 (9L, -0.07, -0.11, 0.36, -4.69, 3.82, -2.55, 2212.0),
 (10L, -0.02, 0.04, 0.3, -2.49, 2.73, -1.13, 2232.0),
 (11L, 0.02, 0.18, 0.23, -4.56, 1.97, 7.39, 2251.0),
 (12L, -0.05, 0.1, 0.18, -3.18, 2.29, 6.69, 2279.0),
 (13L, 0.03, 0.16, 0.2, 1.04, 0.82, -4.66, 2298.0),
 (14L, -0.01, -0.12, 0.2, 0.05, 0.85, -0.43, 2325.0),
 (15L, 0.0, -0.03, 0.17, 0.37, 0.83, 0.0, 2344.0),
 (16L, -0.01, -0.08, 0.13, 0.51, 0.69, 0.69, 2366.0),
 (17L, -0.02, 0.04, 0.12, 1.51, 0.25, -2.11, 2386.0),
 (18L, -0.01, 0.01, 0.09, 1.11, 0.9, -1.21, 2415.0),
 (19L, -0.01, 0.02, 0.11, 1.01, 0.35, -3.45, 2434.0),
 (20L, -0.01, -0.22, 0.06, -1.66, 0.99, -3.89, 2458.0),
 (21L, -0.05, 0.01, 0.26, -1.06, 2.74, -8.42, 2477.0),
 (22L, -0.03, 0.09, 0.05, 2.33, 0.31, 6.67, 2497.0),
 (23L, -0.01, -0.08, 0.06, -2.79, 1.95, -1.66, 2522.0),
 (24L, -0.04, -0.12, -0.02, -3.95, 2.5, 2.76, 2543.0),
 (25L, -0.01, 0.05, 0.04, -3.76, 2.98, -0.04, 2563.0),
 (26L, 0.01, -0.11, 0.04, -1.44, 1.14, 2.21, 2590.0),
 (27L, -0.02, 0.08, 0.03, 0.85, 0.5, 3.12, 2610.0),
 (28L, -0.01, -0.07, 0.03, 1.04, 2.02, -5.92, 2632.0),
 (29L, 0.01, 0.17, 0.05, 0.53, -1.98, -0.17, 2651.0),
 (30L, 0.01, -0.12, 0.0, 6.37, -1.8, -10.18, 2680.0),
 (31L, 0.0, -0.04, 0.03, 1.0, 0.79, -7.25, 2701.0),
 (32L, 0.0, -0.02, 0.02, 2.57, -0.77, -3.05, 2726.0),
 (33L, -0.01, 0.01, 0.03, 1.76, -2.91, -4.46, 2827.0),
 (34L, 0.02, 0.09, -0.05, 4.79, -0.69, -2.56, 2846.0),
 (35L, -0.02, 0.07, 0.01, 2.43, 0.47, 2.08, 2865.0),
 (36L, -0.01, 0.03, 0.01, 2.31, 0.65, -0.44, 2883.0),
 (37L, 0.0, 0.02, 0.04, 0.34, 2.53, 1.02, 2904.0),
 (38L, 0.0, 0.1, 0.01, 1.19, 4.69, 4.38, 2923.0),
 (39L, -0.0, -0.08, -0.01, -1.98, 0.77, -2.1, 2942.0),
 (40L, -0.03, -0.03, 0.07, 0.26, 6.12, 0.39, 2961.0),
 (41L, 0.01, -0.12, 0.04, -0.43, 8.06, 1.96, 2979.0),
 (42L, 0.01, -0.05, -0.01, 0.42, 3.59, -4.4, 2998.0),
 (43L, -0.01, -0.01, 0.01, -6.29, 6.17, 0.4, 3018.0),
 (44L, -0.0, -0.01, -0.01, -4.39, 6.17, -3.73, 3044.0),
 (45L, -0.01, -0.05, -0.0, -5.48, 6.4, -1.13, 3064.0),
 (46L, -0.01, -0.04, 0.11, -2.11, 3.58, -3.4, 3089.0),
 (47L, -0.04, 0.05, -0.05, 0.28, 4.63, 6.54, 3109.0),
 (48L, -0.01, 0.05, -0.01, 1.62, 2.59, 12.05, 3132.0),
 (49L, -0.0, -0.15, 0.01, 3.08, 0.53, -1.89, 3151.0),
 (50L, 0.01, 0.04, 0.02, 3.44, 0.32, -11.98, 3181.0),
 (51L, -0.05, -0.02, -0.0, 9.2, -0.31, 21.58, 3200.0),
 (52L, 0.01, -0.0, -0.02, 1.41, 2.64, -2.84, 3222.0),
 (53L, -0.0, 0.08, -0.02, 3.54, 1.09, -1.53, 3241.0),
 (54L, 0.01, 0.0, 0.01, 1.91, 0.5, -13.77, 3260.0),
 (55L, 0.01, 0.04, 0.01, 1.71, 0.84, -9.0, 3280.0),
 (56L, 0.0, 0.17, -0.04, 9.33, -1.78, 18.41, 3300.0),
 (57L, -0.02, -0.11, 0.1, 0.1, 1.17, -8.73, 3322.0),
 (58L, -0.02, -0.01, -0.02, -0.18, 1.44, -8.86, 3341.0),
 (59L, -0.01, 0.58, -0.06, 18.89, 1.05, 32.09, 3370.0),
 (60L, 0.0, -0.01, -0.03, 0.5, -1.17, -6.0, 3389.0),
 (61L, -0.01, 0.01, 0.03, 1.46, -0.24, 3.91, 3417.0),
 (62L, 0.01, -0.05, 0.05, -0.53, -0.52, 0.24, 3436.0),
 (63L, 0.01, -0.06, 0.0, -4.24, 2.35, -0.78, 3456.0),
 (64L, 0.01, -0.04, -0.0, 1.15, 0.08, 3.95, 3475.0),
 (65L, 0.01, -0.07, 0.0, -5.31, 1.12, -0.05, 3495.0),
 (66L, 0.02, -0.11, 0.01, -10.95, 2.45, 3.15, 3514.0),
 (67L, 0.02, -0.02, -0.0, -1.28, 1.2, -0.3, 3533.0),
 (68L, -0.01, -0.06, 0.08, 2.05, -1.8, -2.34, 3559.0),
 (69L, -0.0, -0.06, 0.0, 1.64, -0.52, -1.79, 3578.0),
 (70L, 0.0, 0.07, -0.04, -1.16, 0.68, 3.01, 3597.0),
 (71L, 0.0, -0.04, 0.03, -0.37, -0.05, 3.92, 3617.0),
 (72L, 0.01, 0.01, -0.03, -6.58, 3.44, 6.53, 3644.0),
 (73L, -0.01, 0.08, 0.03, 0.91, 1.6, -6.82, 3663.0),
 (74L, 0.02, 0.12, -0.03, 9.08, -2.28, -8.74, 3682.0),
 (75L, 0.02, -0.05, -0.02, 2.63, 0.36, 0.46, 3702.0),
 (76L, 0.01, 0.07, -0.0, 2.13, 0.92, -3.96, 3723.0),
 (77L, -0.01, -0.01, -0.01, 4.31, -0.44, -9.73, 3742.0),
 (78L, -0.0, -0.19, 0.01, 3.12, -0.26, -10.44, 3761.0),
 (79L, 0.02, 0.03, 0.06, -2.62, -0.9, -7.09, 3781.0),
 (80L, -0.01, -0.11, -0.03, 1.46, 0.76, -0.78, 3800.0),
 (81L, -0.01, 0.01, -0.04, 0.4, 1.38, -10.21, 3819.0),
 (82L, 0.0, -0.05, -0.03, 7.08, -1.68, -5.48, 3841.0),
 (83L, 0.0, 0.01, -0.03, 2.74, 0.92, -5.7, 3899.0),
 (84L, 0.01, -0.14, 0.0, 2.47, 0.83, -8.28, 3860.0),
 (85L, 0.02, 0.06, -0.01, 2.47, 0.82, -2.92, 3879.0),
 (86L, 0.01, 0.04, -0.02, 2.2, 2.22, -1.79, 3921.0),
 (87L, -0.04, -0.1, -0.01, -1.15, 2.41, 4.92, 3943.0),
 (88L, -0.01, -0.22, -0.01, -7.98, 2.74, -0.04, 3963.0),
 (89L, 0.01, 0.2, 0.01, -3.5, 2.47, -5.31, 3987.0),
 (90L, -0.01, 0.11, 0.0, -4.88, 1.76, -0.32, 4006.0),
 (91L, 0.0, 0.06, 0.04, 1.72, -1.99, -2.1, 4025.0),
 (92L, 0.04, -0.05, -0.04, 0.65, -1.39, -4.23, 4046.0),
 (93L, 0.01, -0.12, -0.02, -0.63, 0.13, -1.26, 4066.0),
 (94L, 0.0, -0.06, 0.08, 0.01, 1.61, -1.96, 4092.0),
 (95L, 0.01, -0.06, -0.01, -1.43, 2.2, -3.5, 4111.0),
 (96L, -0.0, 0.06, -0.01, 1.15, 1.65, -2.58, 4134.0),
 (97L, -0.02, 0.04, -0.0, -4.2, 2.39, 4.04, 4153.0),
 (98L, 0.01, 0.1, -0.0, 5.15, -0.05, -3.63, 4179.0),
 (99L, -0.01, -0.01, 0.01, 3.04, -0.82, -2.75, 4199.0),
 (100L, 0.02, -0.07, -0.02, -0.6, -0.03, -0.9, 4221.0),
 (101L, -0.0, 0.04, -0.01, 1.83, 0.27, 1.21, 4241.0),
 (102L, 0.02, -0.04, 0.02, -2.48, 2.65, 7.42, 4260.0),
 (103L, 0.01, -0.11, 0.02, 11.66, 0.04, 2.8, 4288.0),
 (104L, 0.03, 0.06, -0.02, -1.66, 4.92, 11.53, 4307.0),
 (105L, 0.12, 0.28, 0.04, 23.52, -2.73, 4.02, 4327.0),
 (106L, -0.02, -0.1, 0.01, -4.75, 6.27, -4.75, 4347.0),
 (107L, 0.02, 0.15, 0.01, 2.76, 4.7, -4.89, 4366.0),
 (108L, -0.06, -0.17, 0.0, -4.53, 6.6, -10.16, 4385.0),
 (109L, 0.04, 0.13, 0.02, 5.39, 2.67, -0.24, 4404.0),
 (110L, 0.03, -0.05, -0.0, 10.73, 1.24, 2.73, 4425.0),
 (111L, 0.0, 0.04, 0.01, 5.83, 2.77, -0.5, 4444.0),
 (112L, -0.06, -0.08, -0.03, 3.35, 1.23, -3.14, 4463.0),
 (113L, 0.01, -0.05, 0.03, 5.06, -0.02, -7.71, 4482.0),
 (114L, -0.06, -0.19, -0.1, 2.09, -0.1, -1.33, 4501.0),
 (115L, -0.02, 0.04, 0.0, 1.24, -0.47, -2.64, 4522.0),
 (116L, 0.0, -0.17, -0.05, -10.63, 5.85, -5.03, 4543.0),
 (117L, -0.01, 0.05, -0.0, 3.04, 2.23, 2.69, 4567.0),
 (118L, -0.01, 0.12, 0.01, 2.27, 0.24, -1.18, 4590.0),
 (119L, -0.02, -0.05, -0.0, 2.04, 0.26, -10.06, 4609.0),
 (120L, -0.01, -0.11, 0.01, 1.54, -2.32, -0.91, 4627.0),
 (121L, -0.01, 0.05, 0.01, 6.18, -2.82, -1.22, 4651.0),
 (122L, 0.01, 0.02, 0.04, 0.02, -1.32, -2.05, 4671.0),
 (123L, 0.0, 0.13, -0.07, 5.81, -1.8, -2.21, 4691.0),
 (124L, -0.02, -0.11, -0.01, 6.11, -6.02, -0.69, 4710.0),
 (125L, 0.01, -0.07, 0.02, -0.56, -0.19, -5.38, 4729.0),
 (126L, 0.0, -0.08, -0.01, 1.11, -2.22, -0.46, 4749.0),
 (127L, 0.0, 0.12, 0.0, 2.25, 0.21, -0.66, 4768.0),
 (128L, 0.02, -0.12, -0.01, -6.87, 5.4, -7.82, 4788.0),
 (129L, -0.0, 0.09, 0.03, -3.21, 3.44, 4.12, 4806.0),
 (130L, 0.0, 0.02, 0.01, -8.79, 6.7, -0.92, 4826.0),
 (131L, -0.01, 0.05, 0.01, -10.07, 7.75, -11.35, 4845.0),
 (132L, -0.04, 0.31, 0.0, 24.95, -7.11, 8.82, 4865.0),
 (133L, -0.01, -0.08, 0.01, 0.15, -2.47, 2.65, 4885.0),
 (134L, -0.02, 0.1, 0.03, -1.18, 0.89, 6.51, 4904.0),
 (135L, 0.01, -0.04, -0.01, 1.92, -4.58, 0.49, 4924.0),
 (136L, 0.0, 0.07, -0.03, 0.54, -0.82, 0.25, 4943.0),
 (137L, 0.02, -0.57, 0.01, 3.76, -5.53, -7.16, 4962.0),
 (138L, 0.01, -0.21, -0.03, -3.33, 0.76, -5.87, 4982.0),
 (139L, 0.02, 0.02, -0.04, -1.02, 1.02, 4.12, 5001.0),
 (140L, -0.01, 0.19, 0.03, -7.92, 6.95, -4.24, 5020.0),
 (141L, 0.01, 0.13, 0.02, 2.89, 2.75, 3.66, 5058.0),
 (142L, 0.01, 0.32, 0.01, 1.23, 2.8, 4.73, 5077.0),
 (143L, 0.01, 0.16, 0.0, 3.77, 0.14, -5.49, 5098.0),
 (144L, -0.02, 0.06, -0.06, 1.37, 2.86, 5.5, 5118.0),
 (145L, 0.01, -0.1, 0.0, 5.39, 0.11, 1.16, 5154.0),
 (146L, -0.01, -0.01, 0.04, -3.06, 2.21, -4.99, 5174.0),
 (147L, -0.0, -0.01, 0.02, -0.8, 1.7, -1.53, 5206.0),
 (148L, 0.0, 0.15, -0.0, -8.1, 7.27, 10.07, 5225.0),
 (149L, -0.01, -0.05, 0.0, 3.91, 0.11, -5.0, 5244.0),
 (150L, 0.0, -0.01, -0.02, -0.31, 0.53, -0.39, 5281.0),
 (151L, 0.0, -0.29, 0.0, 2.71, -2.0, 0.61, 5316.0),
 (152L, 0.0, -0.1, 0.02, 3.43, 0.76, -1.47, 5335.0),
