1,-0.09,0.02,0.8,1.68,4.73,-1.37,1730.0,
2,-0.1,0.02,0.76,-0.92,2.78,-5.24,2074.0,
3,-0.08,0.02,0.68,-0.38,1.84,-8.47,2094.0,
4,-0.07,0.0,0.59,1.25,1.6,-10.05,2114.0,
5,-0.06,0.01,0.52,5.45,-0.34,-15.57,2134.0,
6,-0.06,-0.04,0.45,3.33,-0.48,-12.89,2153.0,
7,-0.04,-0.03,0.41,1.47,1.75,-12.9,2173.0,
8,-0.02,0.11,0.36,1.67,2.34,-9.25,2193.0,
9,-0.07,-0.11,0.36,-4.69,3.82,-2.55,2212.0,
10,-0.02,0.04,0.3,-2.49,2.73,-1.13,2232.0,
11,0.02,0.18,0.23,-4.56,1.97,7.39,2251.0,
12,-0.05,0.1,0.18,-3.18,2.29,6.69,2279.0,
13,0.03,0.16,0.2,1.04,0.82,-4.66,2298.0,
14,-0.01,-0.12,0.2,0.05,0.85,-0.43,2325.0,
15,0.0,-0.03,0.17,0.37,0.83,0.0,2344.0,
16,-0.01,-0.08,0.13,0.51,0.69,0.69,2366.0,
17,-0.02,0.04,0.12,1.51,0.25,-2.11,2386.0,
18,-0.01,0.01,0.09,1.11,0.9,-1.21,2415.0,
19,-0.01,0.02,0.11,1.01,0.35,-3.45,2434.0,
20,-0.01,-0.22,0.06,-1.66,0.99,-3.89,2458.0,
21,-0.05,0.01,0.26,-1.06,2.74,-8.42,2477.0,
22,-0.03,0.09,0.05,2.33,0.31,6.67,2497.0,
23,-0.01,-0.08,0.06,-2.79,1.95,-1.66,2522.0,
24,-0.04,-0.12,-0.02,-3.95,2.5,2.76,2543.0,
25,-0.01,0.05,0.04,-3.76,2.98,-0.04,2563.0,
26,0.01,-0.11,0.04,-1.44,1.14,2.21,2590.0,
27,-0.02,0.08,0.03,0.85,0.5,3.12,2610.0,
28,-0.01,-0.07,0.03,1.04,2.02,-5.92,2632.0,
29,0.01,0.17,0.05,0.53,-1.98,-0.17,2651.0,
30,0.01,-0.12,0.0,6.37,-1.8,-10.18,2680.0,
31,0.0,-0.04,0.03,1.0,0.79,-7.25,2701.0,
32,0.0,-0.02,0.02,2.57,-0.77,-3.05,2726.0,
33,-0.01,0.01,0.03,1.76,-2.91,-4.46,2827.0,
34,0.02,0.09,-0.05,4.79,-0.69,-2.56,2846.0,
35,-0.02,0.07,0.01,2.43,0.47,2.08,2865.0,
36,-0.01,0.03,0.01,2.31,0.65,-0.44,2883.0,
37,0.0,0.02,0.04,0.34,2.53,1.02,2904.0,
38,0.0,0.1,0.01,1.19,4.69,4.38,2923.0,
39,-0.0,-0.08,-0.01,-1.98,0.77,-2.1,2942.0,
40,-0.03,-0.03,0.07,0.26,6.12,0.39,2961.0,
41,0.01,-0.12,0.04,-0.43,8.06,1.96,2979.0,
42,0.01,-0.05,-0.01,0.42,3.59,-4.4,2998.0,
43,-0.01,-0.01,0.01,-6.29,6.17,0.4,3018.0,
44,-0.0,-0.01,-0.01,-4.39,6.17,-3.73,3044.0,
45,-0.01,-0.05,-0.0,-5.48,6.4,-1.13,3064.0,
46,-0.01,-0.04,0.11,-2.11,3.58,-3.4,3089.0,
47,-0.04,0.05,-0.05,0.28,4.63,6.54,3109.0,
48,-0.01,0.05,-0.01,1.62,2.59,12.05,3132.0,
49,-0.0,-0.15,0.01,3.08,0.53,-1.89,3151.0,
50,0.01,0.04,0.02,3.44,0.32,-11.98,3181.0,
51,-0.05,-0.02,-0.0,9.2,-0.31,21.58,3200.0,
52,0.01,-0.0,-0.02,1.41,2.64,-2.84,3222.0,
53,-0.0,0.08,-0.02,3.54,1.09,-1.53,3241.0,
54,0.01,0.0,0.01,1.91,0.5,-13.77,3260.0,
55,0.01,0.04,0.01,1.71,0.84,-9.0,3280.0,
56,0.0,0.17,-0.04,9.33,-1.78,18.41,3300.0,
57,-0.02,-0.11,0.1,0.1,1.17,-8.73,3322.0,
58,-0.02,-0.01,-0.02,-0.18,1.44,-8.86,3341.0,
59,-0.01,0.58,-0.06,18.89,1.05,32.09,3370.0,
60,0.0,-0.01,-0.03,0.5,-1.17,-6.0,3389.0,
61,-0.01,0.01,0.03,1.46,-0.24,3.91,3417.0,
